"","s_n","date","nepse_index","absolute_change","percentage_change"
"3","1",2020-11-30,1997.06,"28.7867","1.4625%"
"4","2",2020-12-01,2000.4,"3.3467","0.1676%"
"5","3",2020-12-02,2071.03,"70.6246","3.5305%"
"6","4",2020-12-03,2055.46,"-15.5743","-0.752%"
"7","5",2020-12-06,1932.11,"-123.341","-6.0007%"
"8","6",2020-12-07,2004.39,"72.2765","3.7408%"
"9","7",2020-12-08,1995.35,"-9.0401","-0.451%"
"10","8",2020-12-09,1955.75,"-39.5984","-1.9845%"
"11","9",2020-12-10,1964.02,"8.2684","0.4228%"
"12","10",2020-12-13,2010.45,"46.4325","2.3642%"
"13","11",2020-12-14,2067.17,"56.7194","2.8212%"
"14","12",2020-12-15,2061.42,"-5.7545","-0.2784%"
"15","13",2020-12-16,2055.22,"-6.197","-0.3006%"
"16","14",2020-12-17,2032.52,"-22.7026","-1.1046%"
"17","15",2020-12-20,1935.64,"-96.8822","-4.7666%"
"18","16",2020-12-21,1965.96,"30.3252","1.5667%"
"19","17",2020-12-22,2061.42,"95.4578","4.8555%"
"20","18",2020-12-23,2068.46,"7.0389","0.3415%"
"21","19",2020-12-24,2038.63,"-29.8279","-1.442%"
"22","20",2020-12-27,1998.65,"-39.976","-1.9609%"
"23","21",2020-12-28,2007.3,"8.57","0.4288%"
"24","22",2020-12-29,2012.89,"5.5709","0.2775%"
"25","23",2020-12-30,2062.06,"49.1707","2.4428%"
"26","24",2020-12-31,2087.28,"25.2148","1.2228%"
"27","25",2021-01-03,2175.4,"88.1198","4.2218%"
"28","26",2021-01-04,2169.04,"-6.3576","-0.2922%"
"29","27",2021-01-05,2165.5,"-3.543","-0.1633%"
"30","28",2021-01-06,2178.57,"13.0734","0.6037%"
"31","29",2021-01-07,2194.49,"15.9146","0.7305%"
"32","30",2021-01-10,2235.73,"41.2428","1.8794%"
"33","31",2021-01-11,2239.43,"3.6986","0.1654%"
"34","32",2021-01-12,2267.74,"28.3109","1.2642%"
"35","33",2021-01-13,2286.55,"18.8083","0.8294%"
"36","34",2021-01-17,2315.01,"28.4629","1.2448%"
"37","35",2021-01-18,2332.32,"17.309","0.7477%"
"38","36",2021-01-19,2326.9,"-5.5667","-0.2387%"
"39","37",2021-01-20,2342.77,"15.8658","0.6818%"
"40","38",2021-01-21,2374.64,"31.873","1.3605%"
"41","39",2021-01-24,2424.84,"50.1974","2.1139%"
"42","40",2021-01-25,2440.88,"16.0398","0.6615%"
"43","41",2021-01-26,2423.09,"-17.7852","-0.7286%"
"44","42",2021-01-27,2441.85,"18.7563","0.7741%"
"45","43",2021-01-28,2425.3,"-16.5535","-0.6779%"
"46","44",2021-01-31,2370.55,"-54.7489","-2.2574%"
"47","45",2021-02-01,2408.24,"37.6951","1.5901%"
"48","46",2021-02-02,2473.74,"65.4935","2.7196%"
"49","47",2021-02-03,2466.92,"-6.8148","-0.2755%"
"50","48",2021-02-04,2475.27,"8.3436","0.3382%"
"51","49",2021-02-07,2524,"48.7389","1.969%"
"52","50",2021-02-08,2561.48,"37.475","1.4847%"
"53","51",2021-02-09,2534.37,"-27.1118","-1.0584%"
"54","52",2021-02-10,2543.03,"8.6632","0.3418%"
"55","53",2021-02-11,2526.92,"-16.1097","-0.6335%"
"56","54",2021-02-14,2493.59,"-33.3276","-1.3189%"
"57","55",2021-02-15,2586.01,"92.4161","3.7061%"
"58","56",2021-02-16,2601.51,"15.5046","0.5996%"
"59","57",2021-02-17,2611.45,"9.9359","0.3819%"
"60","58",2021-02-18,2636.68,"25.23","0.9661%"
"61","59",2021-02-21,2640.35,"3.6647","0.139%"
"62","60",2021-02-22,2607.67,"-32.6749","-1.2375%"
"63","61",2021-02-23,2586.51,"-21.1566","-0.8113%"
"64","62",2021-02-24,2599.56,"13.0421","0.5042%"
"65","63",2021-02-25,2554.14,"-44.9414","-1.7291%"
"66","64",2021-02-28,2474.39,"-79.7437","-3.1221%"
"67","65",2021-03-01,2515.03,"40.6378","1.6423%"
"68","66",2021-03-02,2455.33,"-59.6999","-2.3737%"
"69","67",2021-03-03,2416.01,"-39.2334","-1.5979%"
"70","68",2021-03-04,2506.68,"90.6727","3.753%"
"71","69",2021-03-07,2485.1,"-21.5814","-0.861%"
"72","70",2021-03-09,2461.88,"-23.2171","-0.9343%"
"73","71",2021-03-10,2458.49,"-3.3978","-0.138%"
"74","72",2021-03-14,2407.26,"-51.2276","-2.0837%"
"75","73",2021-03-15,2389.19,"-18.0672","-0.7505%"
"76","74",2021-03-16,2391.75,"2.5568","0.107%"
"77","75",2021-03-17,2432.15,"40.3985","1.6891%"
"78","76",2021-03-18,2475.09,"42.9466","1.7658%"
"79","77",2021-03-21,2538.47,"63.3755","2.5605%"
"80","78",2021-03-22,2514.39,"-24.0776","-0.9485%"
"81","79",2021-03-23,2528.96,"14.5666","0.5793%"
"82","80",2021-03-24,2570.26,"41.2995","1.6331%"
"83","81",2021-03-25,2548.97,"-21.2885","-0.8283%"
"84","82",2021-03-29,2543.52,"-5.446","-0.2137%"
"85","83",2021-03-30,2575.67,"32.1476","1.2639%"
"86","84",2021-03-31,2619.03,"43.3601","1.6834%"
"87","85",2021-04-01,2631.9,"12.8762","0.4916%"
"88","86",2021-04-04,2657.61,"25.7141","0.977%"
"89","87",2021-04-05,2658.75,"1.1325","0.0426%"
"90","88",2021-04-06,2674.47,"15.7241","0.5914%"
"91","89",2021-04-07,2671.62,"-2.8533","-0.1067%"
"92","90",2021-04-08,2674.36,"2.742","0.1026%"
"93","91",2021-04-12,2691.56,"17.2001","0.6431%"
"94","92",2021-04-13,2714.79,"23.2331","0.8632%"
"95","93",2021-04-15,2735.4,"20.6053","0.759%"
"96","94",2021-04-18,2699.51,"-35.8856","-1.3119%"
"97","95",2021-04-19,2661.94,"-37.5756","-1.3919%"
"98","96",2021-04-20,2664.62,"2.6814","0.1007%"
"99","97",2021-04-21,2632.21,"-32.4087","-1.2163%"
"100","98",2021-04-22,2648.01,"15.7998","0.6002%"
"101","99",2021-04-25,2572.22,"-75.7858","-2.862%"
"102","100",2021-04-26,2506.62,"-65.5798","-2.5496%"
"103","101",2021-04-27,2599.08,"92.4563","3.6885%"
"104","102",2021-04-28,2585.28,"-13.7937","-0.5307%"
"105","103",2021-04-29,2611.11,"25.8243","0.9989%"
"106","104",2021-05-02,2665.11,"53.995","2.0679%"
"107","105",2021-05-03,2652.76,"-12.3493","-0.4634%"
"108","106",2021-05-04,2654.69,"1.9435","0.0733%"
"109","107",2021-05-05,2649.6,"-5.0936","-0.1919%"
"110","108",2021-05-06,2637.13,"-12.4652","-0.4705%"
"111","109",2021-05-09,2618.57,"-18.5629","-0.7039%"
"112","110",2021-05-10,2645.85,"27.4104","1.0468%"
"113","111",2021-05-11,2673.32,"27.4714","1.0383%"
"114","112",2021-05-12,2673.88,"0.5643","0.0211%"
"115","113",2021-05-13,2684.01,"10.1298","0.3788%"
"116","114",2021-05-16,2738.3,"54.2119","2.0198%"
"117","115",2021-05-17,2759.22,"20.7132","0.7564%"
"118","116",2021-05-18,2793.9,"34.6836","1.257%"
"119","117",2021-05-19,2780.81,"-13.0872","-0.4684%"
"120","118",2021-05-20,2787.19,"6.3744","0.2292%"
"121","119",2021-05-23,2820,"32.8144","1.1773%"
"122","120",2021-05-24,2823.07,"3.066","0.1087%"
"123","121",2021-05-25,2816.57,"-6.4981","-0.2302%"
"124","122",2021-05-27,2815.4,"-1.1991","-0.0426%"
"125","123",2021-05-30,2827.93,"12.5363","0.4453%"
